nom,club,poste,date_naissance,lieu_naissance,taille(cm),poids(kg)
Mathew LUAMANU,Aviron Bayonnais,3e ligne,4 Mars 1988,Nouvelle Zélande,,
MAXIME LUCU,Union Bordeaux-Bègles,Demi mêlée,12 Janvier 1993,France,,
SEKOU MACALOU,Stade Français Paris,3e ligne,20 Avril 1995,France,,
MAXIME MACHENAUD,Racing 92,Demi mêlée,30 Décembre 1988,France,174,87
ROMAIN MACURDY,Montpellier Hérault Rugby,2e ligne,21 Septembre 2001,France,,
LOUIS BENOIT MADAULE,Stade Toulousain,3e ligne,24 Septembre 1988,France,190,105
YOANN MAESTRI,Stade Français Paris,2e ligne,14 Janvier 1988,France,201,119
Tiuke Feleti MAHONI,Aviron Bayonnais,3e ligne,23 Août 1997,Tonga,,
EDWIN MAKA,Aviron Bayonnais,2e ligne,25 Février 1993,Australie,,
DAN MALAFOSSE,CA Brive,3e ligne,14 Janvier 1992,France,,
Karl-Robin MALANDA,Stade Toulousain,3e ligne,26 Février 1998,France,,
CHARLY MALIE,Section Paloise,Arrière,5 Novembre 1991,France,182,86
PAUL MALLEZ,Stade Toulousain,1ère ligne,24 Janvier 2001,France,,
Maile Jr MAMAO,Aviron Bayonnais,Ailier,7 Janvier 1996,Tonga,,
Lionel MAPOE,Stade Français Paris,Centre,13 Juillet 1988,Afrique du Sud,,
Retief MARAIS,CA Brive,3e ligne,20 Juillet 1995,Afrique du Sud,,
JANDRE MARAIS,Union Bordeaux-Bègles,2e ligne,14 Juin 1989,Afrique du Sud,198,118
PEET MARAIS,CA Brive,2e ligne,31 Octobre 1990,Afrique du Sud,199,114
JULIEN MARCHAND,Stade Toulousain,1ère ligne,10 Mai 1995,France,,
Guillaume MARCHAND,Stade Toulousain,1ère ligne,5 Juin 1998,France,100,
Denis MARCHOIS,Section Paloise,2e ligne,5 Février 1994,France,198,115
Jules MARGARIT,LOU Rugby,Centre,27 Juin 2001,France,,
SAMUEL MARQUES,Section Paloise,Demi mêlée,8 Décembre 1988,France,172,76
VINCENT MARTIN,Montpellier Hérault Rugby,Arrière,4 Septembre 1992,France,185,89
Clément MARTINEZ,SU Agen,1ère ligne,14 Mars 1996,France,,
Guillaume MARTOCQ,Aviron Bayonnais,Centre,23 Août 1999,France,184,90
Quentin MARTY,Castres Olympique,1ère ligne,27 Juin 2001,France,,
Benito MASILEVU,SU Agen,Ailier,7 Octobre 1989,Fidji,,
Pablo MATERA,Stade Français Paris,3e ligne,18 Juillet 1993,Allemagne,,
Jeremie MAUROUARD,LOU Rugby,1ère ligne,23 Septembre 1992,France,180,99
PEATO MAUVAKA,Stade Toulousain,1ère ligne,10 Janvier 1997,France,184,111
SAMI MAVINGA,Stade Français Paris,1ère ligne,25 Mai 1993,France,,
SAMUEL MAXIMIN,Montpellier Hérault Rugby,2e ligne,30 Avril 2001,France,,
JIMI MAXIMIN,Montpellier Hérault Rugby,2e ligne,3 Avril 1999,France,202,127
CLEMENT MAYNADIER,Union Bordeaux-Bègles,1ère ligne,11 Octobre 1988,France,187,110
Jake Aron MCINTYRE,ASM Clermont,Demi d'ouverture,28 Avril 1994,Australie,,
Emmanuel MEAFOU,Stade Toulousain,2e ligne,12 Juillet 1998,Nouvelle Zélande,,
MAXIME MEDARD,Stade Toulousain,Arrière,16 Novembre 1986,France,180,89
GIORGI MELIKIDZE,Stade Français Paris,1ère ligne,24 Mai 1996,Géorgie,,
LUCAS MERET,Union Bordeaux-Bègles,Demi d'ouverture,30 Janvier 1995,France,,
